Species,Age,Wing,Weight,Culmen,Hallux,Tail
RT,I,423,1310,27.4,34.1,234
RT,I,365,1035,26.1,30.8,232
RT,I,383,965,26.1,31.8,221
RT,I,391,1125,25.4,30.9,220
RT,I,389,975,26.4,30.3,232
RT,I,392,1140,26.2,29.8,214
RT,I,375,950,25.3,29.9,225
RT,I,410,1210,28.1,28.9,238
SS,I,179,95,10.8,11.6,133
SS,I,172,89,9.4,10.8,136
SS,A,202,195,12.4,14.1,151
SS,I,174,93,9.5,11,131
RT,I,422,1205,28.8,31.3,238
RT,I,385,1045,27.6,27.5,229
RT,I,363,1090,26.6,28.8,202
RT,I,450,1190,30.3,32.8,226
RT,I,380,960,25.6,30.1,220
RT,I,385,955,26.3,30.1,215
RT,I,385,1110,24.7,30.2,122
SS,I,171,100,19.1,11.5,134
RT,I,380,900,24,26.5,215
RT,I,384,1075,26.5,30.7,208
RT,I,373,980,27.9,32.1,211
RT,I,381,940,27.8,34.2,220
RT,I,363,1070,25.6,30.4,204
RT,I,409,1120,29.4,31.6,229
RT,A,390,1060,27.6,29,205
SS,I,204,168,12.1,14.3,155
SS,I,197,211,11.5,13.9,150
RT,I,420,1125,27.2,27.4,244
RT,I,381,1100,27,28.2,225
RT,I,408,1360,30,33.9,239
RT,I,388,995,26.7,30.7,222
RT,A,398,1095,21.1,31.4,209
SS,I,209,196,12.1,14.6,164
SS,I,209,176,11.7,15.1,159
RT,A,394,1075,25.5,29.7,211
SS,A,204,180,12.3,15.2,160
SS,I,204,164,12.3,14.3,157
SS,I,209,158,12.2,14.4,160
RT,I,394,1140,26.8,29.2,216
RT,I,416,1240,27.9,31.8,250
RT,I,445,1465,29.7,34.6,260
SS,I,209,169,12.1,14.5,164
RT,I,388,1105,26.7,28.9,217
RT,I,397,1010,27.1,31.4,228
RT,I,384,1075,26.3,30.5,218
RT,I,379,1060,27.9,30.9,220
RT,I,393,1015,27.6,31.1,227
RT,I,386,1100,26,30.2,211
RT,I,397,1010,25,30.6,222
RT,I,382,1000,26.3,30.1,225
RT,I,386,980,25.4,30.2,221
RT,I,417,1240,28.7,32.4,231
RT,I,403,1360,27.9,33.1,235
CH,A,239,183,17.3,19.2,182
RT,I,401,1405,29.1,82.8,235
RT,A,377,1055,27,29.1,200
RT,A,432,1670,27.1,32.9,216
RT,I,390,1250,26.2,30.5,223
RT,I,381,1030,25.3,29.9,210
SS,I,213,190,12.2,15.5,160
SS,I,172,105,10,10.8,125
RT,I,390,1090,26.2,28.8,226
SS,I,204,190,11.8,13.9,154
RT,A,386,1050,28.4,29.4,207
RT,I,402,1110,26.1,30,238
SS,I,201,206,12.1,13.5,151
SS,I,202,195,12.1,14.8,158
RT,A,374,1010,24.9,30.1,197
RT,I,358,880,24.2,28.7,250
RT,I,370,1060,24.3,29.8,215
RT,I,390,920,25.7,30,214
RT,I,398,1195,26.2,29.8,230
RT,I,360,890,26,28.4,213
RT,I,355,900,25.3,29,214
RT,A,375,1110,22.2,31.5,224
SS,I,200,160,10.2,13.2,153
SS,I,179,105,10.1,11.3,131
SS,I,175,99,9.6,12.7,145
SS,I,203,165,12,14.4,165
SS,I,205,100,12,12.5,168
SS,I,213,125,11.5,14.4,156
RT,I,409,1100,29,32.6,215
SS,I,195,155,11.9,14.6,155
RT,I,415,1285,29.5,31.8,239
CH,A,236,390,15.1,20.4,185
RT,I,363,920,26.8,30.2,214
RT,I,381,1025,25.4,30.8,232
RT,A,350,940,26,29.1,205
RT,I,398,1240,28.5,30.8,243
RT,I,412,1160,27.8,33,255
SS,I,203,150,11.5,13.9,159
SS,I,201,130,11.7,14.4,156
RT,I,411,1240,26.8,32.7,276
RT,I,373,930,24.4,27.4,210
SS,I,178,90,10.9,12.1,145
RT,I,415,1240,25.6,31.2,231
RT,I,383,1030,25.2,29.8,216
CH,I,223,550,18.8,21.3,210
RT,I,390,1250,26.5,32,210
RT,I,390,999,25.3,29.8,220
RT,A,365,1120,26.5,30.8,260
RT,A,345,1000,26.4,30.1,200
CH,I,273,530,19.2,24.7,213
RT,I,400,1040,27.7,32.1,230
RT,I,380,1150,27.8,31.1,220
RT,I,330,1000,25.9,30.2,220
RT,I,410,1360,33.3,28.6,235
RT,I,313,930,25.7,28.9,215
RT,I,384,980,25.8,30.4,215
RT,I,409,1260,27.7,31.8,221
RT,I,390,900,27.5,28.6,225
RT,I,411,1300,25.9,31.9,238
CH,I,259,470,16.6,23.4,221
RT,A,380,1040,26.4,30.9,212
RT,I,370,950,27.3,30.5,215
RT,I,415,1320,29.4,33.9,235
SS,I,215,180,14.1,12.7,132
RT,I,410,1280,27.9,32.7,229
RT,I,412,1310,26.1,31.1,251
RT,A,384,910,26.4,28.4,215
RT,I,404,1220,28.6,30.4,225
RT,I,375,920,23.8,28.8,210
RT,I,410,1135,26.4,32.4,267
RT,I,384,940,26.2,29.8,220
RT,I,385,920,25,32.2,238
RT,I,398,1280,28,32.4,248
RT,I,425,1220,27.3,33,241
RT,I,401,1000,26.7,28,212
RT,I,387,1120,26.8,50.2,221
RT,I,376,925,26,30.8,233
SS,A,171,90,9.9,11.9,138
RT,A,420,1280,27.5,31.8,230
RT,I,385,985,27.5,30.8,223
RT,I,405,1350,28.3,32.6,226
RT,I,350,730,24.6,25.7,208
RT,I,388,890,27.8,31.2,231
RT,I,398,1020,26.5,31.1,217
RT,A,410,1000,27.1,30.6,230
SS,I,202,150,11.7,14.1,153
SS,I,204,180,11.5,12.4,186
RT,A,382,1020,26.5,29.4,225
RT,I,111,1340,26.85,31.9,226
RT,I,396,1300,27.3,30.5,214
RT,I,363,1015,25.5,30.1,242
RT,I,360,900,30.5,28.8,220
RT,I,390,1000,26.1,29.6,250
SS,I,195,150,12.3,14.6,178
RT,A,390,1050,24.8,32.5,220
RT,I,380,950,24.9,29,240
CH,I,225,350,12.6,26,215
CH,A,247,375,16.9,18.2,160
RT,A,415,1175,28.3,33.2,230
RT,I,354,980,25.8,29.3,220
RT,A,417,1260,29,32.8,234
RT,I,379,1050,25.9,31.3,226
RT,A,412,1330,29.2,32.2,218
RT,A,377,980,28,29.1,209
RT,I,372,920,25.3,30,228
RT,I,420,1540,29.9,35.5,235
RT,I,368,1060,25.5,26.9,223
RT,I,406,1420,29.9,32,245
CH,I,225,400,15,20,202
RT,I,392,1142,27.2,33,235
SS,I,191,157,12,13.8,158
SS,I,161,98,10.3,11.7,133
RT,I,365,813,26.2,30.1,221
SS,I,156,94,9.9,11.4,125
SS,I,191,155,16.5,14.4,158
SS,I,198,181,12.5,14.1,159
SS,I,160,92,9.8,11,132
SS,I,164,98,10.1,11.4,136
RT,I,352,1024,26.6,30.3,216
CH,I,265,464,19.2,24.1,225
SS,I,163,100,10.4,11.2,137
SS,I,193,186,12.8,14,155
SS,I,190,164,11.9,14.5,155
SS,I,165,98,10.1,11.4,138
SS,A,198,158,12.1,14.5,154
RT,I,370,1023,25.8,30.1,216
RT,I,230,340,16.5,30.5,200
CH,I,194,163,12.2,20,158
SS,I,157,92,9.8,14.7,132
SS,I,260,550,19.5,11.2,215
CH,A,377,1119,25.4,23.9,226
RT,I,364,917,26,29.6,216
RT,I,367,946,26.7,28.9,221
RT,I,233,337,15.7,31.9,196
CH,I,336,742,23.4,18.8,221
SS,I,259,439,18.8,15.2,218
CH,I,199,187,12.2,24.2,157
SS,I,165,92,9.7,14.6,135
SS,I,370,1094,27.3,11.5,221
RT,I,362,832,23.8,32.6,210
RT,I,368,1244,26.7,30.2,220
RT,I,367,974,25.2,29.6,221
RT,I,400,1289,28.6,32.1,242
RT,I,379,999,28.3,32,220
RT,I,360,994,26.5,30.4,210
RT,I,362,1004,27,31.4,221
RT,I,378,1097,28.9,33.4,236
SS,I,201,185,13.1,14.5,162
SS,I,193,181,12.8,11.5,150
RT,I,372,1092,27.2,31.8,235
RT,I,369,1049,30.1,32,231
RT,I,354,998,27.2,29.2,227
RT,I,367,1091,31.8,34.2,238
RT,I,349,987,29,31.1,225
RT,I,375,1151,34.1,33.7,249
RT,I,343,971,25.1,26.1,213
RT,I,360,1159,32.9,34,240
RT,I,395,1239,26.7,33.2,231
RT,I,400,1216,28.5,32.1,227
SS,A,170,177,12.3,14.4,155
CH,I,268,469,20,24.9,227
RT,I,369,1039,26.9,29.5,223
RT,I,365,1079,25.2,30,228
RT,A,375,1159,33.8,32.7,242
SS,I,230,162,12.3,13.8,149
CH,A,213,339,23.5,13.8,184
RT,A,382,1403,34.9,34.7,247
SS,I,168,175,12.9,14,158
RT,A,478,1473,39.2,44.7,267
RT,I,469,1001,29.9,43.2,257
SS,I,172,98,8.7,10.9,148
RT,I,373,914,25.9,30.4,221
RT,A,386,1059,25.5,30.5,214
RT,I,384,1147,29,35,229
RT,I,351,949,26.8,29.7,213
SS,I,168,102,9.6,11.9,138
RT,I,363,973,24.8,27.3,213
SS,I,199,196,12.4,15.2,158
CH,I,235,327,16.5,20.3,193
RT,A,374,1064,26,32.1,201
RT,I,369,749,24,26.8,216
SS,I,202,201,11.7,14.9,165
SS,I,202,180,12.4,14.1,160
RT,I,374,1213,24.9,28,244
RT,I,389,1200,28.2,30.8,230
RT,I,379,1040,25.3,29.4,227
SS,I,170,113,10.6,11.1,139
RT,I,373,919,24.2,28.5,233
RT,I,403,1487,26,32.5,240
RT,I,400,1254,25.2,30,237
SS,A,205,156,10.8,14.1,144
RT,I,405,1189,27.7,31.3,210
RT,I,382,979,24.8,27.9,225
SS,A,165,96,10.7,11.4,125
RT,I,407,1339,27.3,33.4,246
RT,I,403,1199,28.8,31,225
RT,I,406,1344,27.9,33.1,230
RT,I,381,969,26.1,31.1,220
RT,I,395,1039,26,29.7,230
RT,I,410,1054,28.5,31.5,233
CH,A,243,334,17.5,19.2,196
SS,I,170,101,9.8,11,135
SS,A,210,181,12.2,15,170
RT,A,425,1449,30.3,33,232
RT,I,402,985,26.6,29.8,234
RT,A,480,1598,34.2,35.4,239
RT,I,412,992,30.1,31.5,230
CH,I,260,569,19.1,24,227
RT,A,381,1354,28.2,32,213
RT,A,392,969,25.9,29,207
RT,I,382,1080,25.3,31,214
SS,A,196,185,12.5,14,146
RT,A,391,1097,27.9,32.8,217
RT,A,397,1439,28.8,31.4,216
RT,I,376,1019,25.8,29.5,216
RT,A,410,1239,29.5,31.8,222
RT,I,381,1399,27.6,31.3,288
RT,I,396,1169,27.5,25.2,238
RT,I,383,1164,27,29.9,199
SS,I,203,176,11.5,14.7,161
CH,I,255,429,19,22.9,208
SS,I,196,160,12.3,14.7,137
SS,I,168,105,10.2,11,143
RT,I,392,890,24.1,29.2,219
SS,I,163,100,9.7,11.6,128
RT,I,395,1215,28.3,33,236
SS,I,163,100,9.9,11.3,131
RT,I,370,1030,27.6,31.4,225
CH,A,225,340,15.7,19.4,190
SS,I,197,165,11.9,9.6,150
RT,I,376,985,26.4,30.3,223
RT,I,372,975,26.5,31.6,225
RT,I,391,1165,28.2,32.4,241
SS,I,165,95,9.7,11.2,136
RT,I,364,1044,23.5,29,210
SS,A,202,180,12.9,15,160
SS,I,163,125,9.7,10.9,135
RT,I,375,890,24.6,28,219
RT,I,392,1105,26.4,33.6,229
RT,A,398,1310,28.3,35.2,211
RT,I,371,895,26.8,31,204
RT,A,367,1060,26.8,31,204
SS,A,193,165,13.2,14.6,146
RT,A,375,960,28.9,29.3,214
RT,I,408,1270,29.4,33,236
CH,A,252,540,20,28.8,185
CH,A,237,365,17.3,19.9,195
RT,I,399,1170,28.3,29.9,247
CH,A,268,590,20,19.9,215
RT,I,388,1225,29,31.5,227
SS,A,200,175,12.3,15.6,155
SS,I,192,170,12.4,15.5,159
SS,A,167,100,10,11.3,132
RT,I,370,1060,26.6,31.9,225
SS,A,162,110,10,11.8,130
RT,I,363,850,25.5,30,220
RT,I,371,1145,25.5,10.3,215
SS,A,199,165,12.5,15.7,161
RT,I,386,1090,26.1,28.2,226
RT,I,400,1345,32.6,33.9,227
RT,I,390,1050,26.6,29,236
SS,A,199,200,12.5,14.9,169
CH,A,254,505,19.6,24,212
RT,A,382,1040,27.1,30.8,210
SS,A,196,155,12.7,14.3,164
RT,I,354,965,26.2,28.5,226
RT,I,403,1105,28.9,33.2,242
SS,I,194,155,12.6,13.7,153
RT,I,375,1045,27.2,30,221
RT,I,369,900,24.4,27.3,220
RT,I,368,1015,25.7,30.3,219
RT,A,393,1385,27.9,32.6,225
RT,I,370,1165,26,31.5,221
RT,I,378,905,28,32.3,215
RT,I,369,985,26,31.1,223
RT,I,364,800,25.5,28.6,219
RT,I,387,995,26.9,31.4,235
RT,A,410,1460,29.4,33.6,216
SS,I,194,165,11.9,14.1,151
RT,A,410,1585,30.6,39.8,130
SS,A,194,185,13.1,15.5,154
RT,I,373,920,25,28.3,223
RT,I,390,1460,29.3,35.6,221
RT,A,404,1315,30,32.5,220
RT,I,375,1019,26,29.9,186
RT,I,395,1215,29.7,31.3,217
RT,I,379,1005,27.8,31.4,209
RT,I,382,1350,27.9,29.9,215
RT,I,404,1145,27.7,31.8,214
SS,A,205,175,12.25,15.5,169
RT,A,377,1010,25.4,29,207
SS,I,184,155,12,14.9,153
RT,I,390,1120,26.6,30,210
RT,A,404,280,28.2,31.55,224
RT,I,351,775,25.4,29.3,200
RT,I,394,1210,29.4,31.7,207
SS,A,175,107,10,11.4,137
RT,A,372,909,24.4,25.4,212
SS,I,169,95,10,11.85,132
RT,I,376,1145,25.1,31.55,226
RT,I,399,1150,27.2,29.55,232
RT,I,399,1560,30,33.85,228
RT,I,357,940,23.6,28.35,205
SS,I,195,145,11.7,14.6,155
RT,I,400,1089,27.3,33.1,228
RT,I,382,1194,29.4,33.8,237
SS,I,161,95,10.1,11.3,135
RT,I,390,1015,28,30.1,230
RT,I,379,975,24.1,29.1,219
RT,I,376,1035,26.8,30.5,223
RT,A,331,1055,27,30.4,210
RT,I,371,945,26.1,30.2,222
SS,I,160,90,11,11.8,124
RT,I,361,785,25.2,28.7,201
CH,A,268,56,19.3,26.1,206
RT,I,394,1220,30.3,34.5,234
SS,A,191,175,13,15.3,149
RT,A,358,1025,27.4,29,204
RT,I,380,1000,26.9,29,204
SS,A,188,175,12.1,14.2,154
RT,I,397,1210,28.3,34,224
SS,A,196,180,13.1,13.9,150
SS,A,190,175,12.8,14.6,147
SS,I,161,90,9.8,11.1,130
CH,A,145,320,16.5,20.5,180
RT,I,392,1185,28.5,33,229
CH,I,230,350,16.4,21.3,187
RT,I,363,950,24.6,30.3,214
SS,I,162,85,10.1,11.4,132
RT,I,374,895,26.4,30.8,219
RT,I,412,1150,27.8,33.2,230
CH,I,272,565,20.7,24,219
RT,I,388,950,26.5,32.2,230
RT,I,371,990,26.9,29.7,217
CH,I,225,325,15.8,18.7,179
RT,I,391,1120,29,33.9,225
SS,I,163,90,9.8,11.5,123
RT,I,410,1120,28.5,33.6,229
RT,I,368,820,25.2,28.7,215
RT,I,410,1200,26.7,29.4,247
RT,A,425,1120,29.4,33.3,222
RT,I,368,1120,24.7,30.8,220
RT,I,392,1220,27.3,34.1,234
SS,I,250,470,18.9,25.3,192
RT,I,418,1310,29.1,31.9,248
RT,I,370,920,26.8,29.7,221
SS,A,170,100,10.9,12.2,132
SS,A,203,180,13.2,15.6,162
RT,A,370,955,26.5,30.5,218
RT,A,408,1225,28.8,32.7,225
RT,A,393,1400,27.9,35.3,215
RT,I,365,1025,24.6,30.1,225
RT,I,405,1140,28.2,31.9,244
RT,I,381,1080,26.1,31.6,232
RT,I,390,1135,27.6,31.1,238
RT,I,384,1430,29.8,35,231
RT,I,390,1050,25.6,29.9,218
RT,I,381,920,27,29.6,223
SS,A,194,175,12.4,14,152
RT,I,371,905,23.6,26.8,197
RT,I,356,915,26.4,28.9,195
RT,I,377,910,25,29,206
RT,I,362,950,25.4,29.7,213
SS,A,165,105,10.1,11.8,127
SS,A,155,100,9.3,11.8,122
RT,I,400,1225,27.3,34.2,222
SS,A,161,105,10.4,12,124
RT,I,387,1090,27.9,32.4,227
RT,I,409,1350,30,32.7,235
SS,A,195,200,13,13.4,158
SS,A,196,200,13.5,15.4,150
SS,A,169,100,10,11.7,133
RT,I,385,940,26.2,30.5,228
RT,I,377,920,24.7,29.3,219
RT,I,400,1190,29.4,33.3,231
SS,I,164,90,9.4,10.7,127
SS,A,165,95,10.4,11.4,127
RT,I,363,915,25,28.3,209
CH,A,266,535,18.8,25.4,223
RT,I,403,1310,29.1,33.3,237
RT,I,375,950,26.9,30.1,210
SS,A,166,120,10.1,11.7,133
RT,I,373,975,26.1,27.9,215
RT,I,373,990,27.9,31,217
SS,A,170,110,11.4,121,135
RT,A,373,1270,26.5,29.6,207
RT,I,354,960,26,31,211
RT,I,394,1290,28.8,30.7,225
SS,I,165,95,10.2,11.6,131
CH,A,261,505,19.2,25.1,203
RT,I,377,1045,26.9,31.5,223
RT,I,364,1090,27.1,30.3,218
RT,I,385,1180,28.6,30,222
RT,I,390,1195,27.6,34.7,235
RT,A,383,1055,27.7,32.7,208
RT,I,365,1025,26.1,30.3,216
SS,I,201,175,12,14.8,157
RT,I,376,940,25.1,31.7,217
RT,A,402,1335,28.3,33.3,219
RT,I,394,1085,29.4,32.7,235
CH,I,223,375,16.2,20.7,185
RT,A,378,1090,28,30.9,212
RT,I,369,995,26,28.2,211
RT,A,378,1090,28,30.7,201
RT,A,262,1020,28,31.2,200
SS,I,165,100,10.6,12.1,137
RT,A,379,1000,28.6,32.2,217
RT,I,380,1085,27.4,33.3,223
RT,A,380,1045,24.9,27,199
RT,I,393,1060,27.7,32.4,217
RT,A,389,1135,27.1,32.1,207
RT,I,395,1210,28.5,28.5,222
SS,I,207,185,13,14.3,163
RT,I,367,965,24.8,24.1,217
RT,A,368,905,26.8,27,200
RT,I,377,1125,25.3,29.5,220
RT,I,374,950,27.2,29.8,216
RT,A,385,1195,27.3,30.9,216
RT,I,363,1005,25,31.6,222
SS,I,164,95,11.4,130,136
SS,A,199,175,12.3,15,142
RT,I,378,995,26.2,30,213
SS,I,200,165,12.1,14.2,154
RT,I,405,1170,29.25,39.8,226
SS,I,194,145,12,14.6,156
SS,I,190,175,12.4,15.2,160
SS,I,195,170,13.1,14.8,149
SS,I,161,105,10.3,11.2,131
SS,I,168,95,10,11.4,137
SS,I,160,95,9.8,10.8,126
RT,I,392,1085,31.2,34.6,210
SS,I,201,165,12.3,14.8,165
RT,I,395,1115,27.4,32.7,235
RT,I,390,1195,27.6,33,222
SS,I,161,100,9.8,11.9,129
CH,A,230,365,16.9,23.55,192
SS,I,192,170,11.9,9.5,156
SS,I,156,90,9.8,11.3,135
SS,I,158,95,10.7,11.1,129
SS,I,167,115,9.8,11.4,131
SS,I,199,155,11.9,14.5,160
CH,I,320,229,17,21,195
RT,A,389,1165,29,33.1,223
CH,I,227,155,17.1,21,192
CH,A,230,340,16.1,20.2,198
SS,A,199,180,12,15.5,152
RT,I,378,235,25.4,30.7,223
SS,I,164,105,10.2,11.2,132
RT,A,385,1085,27.5,30.8,216
RT,I,369,970,26.1,30.4,207
RT,I,378,1030,28.5,31.9,218
RT,I,373,1015,25.5,29.6,215
RT,A,419,1030,29.2,31.5,224
RT,I,414,1215,26.4,29.2,242
SS,A,203,185,13.5,14.2,157
SS,A,162,95,10.2,11,119
SS,I,165,95,10,11,130
SS,A,161,95,9.7,11,124
SS,I,161,110,10.1,11.8,130
RT,I,404,1170,28.4,32.8,237
SS,I,165,105,10.4,11.2,140
SS,A,199,175,12.8,14.5,159
SS,I,171,95,10.9,11.7,138
SS,A,213,190,13.7,15.2,159
SS,A,169,105,10.2,11.8,136
RT,I,379,1435,27.4,32.7,221
RT,I,407,1235,30.1,35.8,243
RT,I,376,1055,29.5,32.2,222
RT,I,380,1105,22,30.8,208
SS,A,172,120,9.8,11.8,132
RT,I,408,1390,28.4,32.7,245
SS,A,167,105,10.3,10.8,131
RT,A,374,1080,26.5,31.3,206
RT,I,376,910,26.1,32.2,220
CH,I,258,490,18,24.2,214
RT,I,370,845,25,27.4,217
SS,A,202,175,13.3,14.9,162
RT,I,363,865,25.6,27.3,210
SS,A,200,180,11.9,13.5,163
RT,I,372,2030,26.2,30.2,196
RT,A,378,960,24.6,30,206
CH,A,254,515,19.5,23.8,218
RT,I,361,970,26.3,30.7,218
RT,A,389,1265,26.6,30.6,210
RT,A,404,1300,29.4,32.8,224
SS,I,195,170,12.9,14.7,154
SS,I,203,191,13.5,15.5,161
CH,A,253,540,19.1,22.6,209
SS,I,199,185,12,14.9,157
SS,I,194,165,11.9,14.4,158
SS,A,196,205,12.2,14,156
SS,I,168,95,10.4,12.1,133
RT,A,395,1170,25.8,30.5,218
RT,I,368,1075,27.7,31.7,213
SS,I,210,200,12.1,15.3,165
RT,I,401,965,25.8,29.1,235
RT,I,355,785,22.7,25,206
RT,A,377,1095,25.6,31.7,206
SS,I,197,160,12,14.7,153
SS,I,171,95,9.1,11.5,135
RT,A,277,1500,29.7,32.1,207
RT,A,435,1595,27.4,34.5,230
RT,I,372,985,25.4,31,224
CH,A,260,565,20,24.2,216
RT,I,390,240,25.2,29.3,218
RT,I,359,875,26,31.1,215
RT,I,393,1225,29,33.4,226
RT,I,402,1255,30.6,34.6,242
RT,I,362,950,26.8,30.7,212
CH,I,227,330,16,18.5,193
RT,A,359,895,27.5,30.1,201
SS,I,155,100,9.8,12,129
CH,I,261,455,17.1,26.8,216
SS,I,160,90,10.3,11.5,132
SS,I,166,105,11.3,11.4,131
RT,I,362,1305,28.2,34.3,234
RT,I,375,975,27.2,31.8,220
RT,I,388,1185,28.9,34.3,225
RT,I,392,1030,26.1,30.5,214
RT,I,412,1215,28.7,34.1,230
RT,I,371,1075,26.9,32.8,220
CH,A,255,960,19.7,42.8,200
RT,I,391,795,24.3,27.6,209
SS,I,190,180,12.2,14.2,156
RT,I,385,1225,27.8,32,225
SS,I,166,110,10,11.9,139
SS,A,197,165,12.2,14.9,159
RT,I,370,920,26.3,32,226
SS,I,190,170,12,15,154
RT,I,400,1315,29.6,34,230
SS,I,162,100,9.4,11.1,131
SS,I,194,155,12.5,14.5,156
RT,I,395,1155,29.9,34.4,233
RT,I,403,1160,29,32.3,235
RT,I,386,955,27.9,30.4,226
SS,A,193,190,13.1,14.9,145
SS,A,203,180,13.8,14.7,156
SS,A,159,90,10,11.5,130
SS,I,163,100,9.8,11.7,130
SS,A,191,190,12.4,14.8,147
SS,I,166,105,10.3,12,141
RT,I,361,1030,27,30.5,231
CH,A,260,565,19.7,54.5,205
CH,A,234,380,12.4,21.9,192
RT,I,377,1040,28.1,30.9,225
RT,I,361,910,24.3,27.5,205
RT,I,375,1005,26,32.5,226
SS,I,193,180,11.9,14.3,156
SS,I,196,175,12.4,15.6,153
SS,I,159,105,9.8,11,131
SS,I,192,190,11.8,14.2,155
RT,I,401,1250,28.2,35.3,230
SS,I,198,185,12.6,15.2,165
RT,I,407,1275,27.5,33.7,238
SS,I,162,105,9.8,12.5,132
