ID,Price,Floor,Lot,Bath,Bed,BathBed,Year,Age,AgeSq,Gar,Status,DAc,School,DEd,DHa,DAd,DCr,DPa
47,339.9,2.048,5,2.0,2,4.0,1993,2.3,5.29,3,Pending,0,Redwood,0,0,0,0,0
48,297.0,2.106,4,2.1,3,6.3,1995,2.5,6.25,2,Sold,0,Redwood,0,0,0,0,0
49,295.0,2.028,4,3.0,5,15.0,1992,2.2,4.84,2,Sold,0,Redwood,0,0,0,0,0
50,222.5,1.794,4,2.0,3,6.0,1960,-1.0,1.00,0,Sold,0,Crest,0,0,0,1,0
51,199.0,2.016,3,2.0,5,10.0,1963,-0.7,0.49,1,Pending,0,Redwood,0,0,0,0,0
52,385.5,1.904,4,1.1,3,3.3,1919,-5.1,26.01,1,Sold,0,Edison,1,0,0,0,0
53,230.0,2.234,3,3.0,4,12.0,1972,0.2,0.04,2,Sold,0,Redwood,0,0,0,0,0
54,285.0,2.269,3,3.1,4,12.4,1905,-6.5,42.25,0,Sold,0,Edison,1,0,0,0,0
55,243.0,1.810,4,3.0,3,9.0,1961,-0.9,0.81,2,Sold,0,Redwood,0,0,0,0,0
56,217.0,1.875,4,2.0,3,6.0,1961,-0.9,0.81,0,Sold,0,Redwood,0,0,0,0,0
57,259.9,1.683,5,2.1,3,6.3,1979,0.9,0.81,1,Active,1,Harris,0,1,0,0,0
58,349.5,2.080,4,2.1,3,6.3,2005,3.5,12.25,2,Active,1,Harris,0,1,0,0,0
59,345.0,2.126,1,3.1,3,9.3,2005,3.5,12.25,2,Active,1,Harris,0,1,0,0,0
60,336.0,2.126,1,3.1,3,9.3,2005,3.5,12.25,2,Pending,0,Harris,0,1,0,0,0
61,333.8,2.126,1,3.1,3,9.3,2005,3.5,12.25,2,Active,1,Harris,0,1,0,0,0
62,340.0,2.126,1,3.1,3,9.3,2005,3.5,12.25,2,Sold,0,Harris,0,1,0,0,0
63,345.0,2.126,1,3.1,3,9.3,2005,3.5,12.25,2,Sold,0,Harris,0,1,0,0,0
64,374.5,1.712,5,1.1,3,3.3,1908,-6.2,38.44,2,Pending,0,Edison,1,0,0,0,0
65,236.5,1.950,4,3.0,4,12.0,1966,-0.4,0.16,2,Pending,0,Redwood,0,0,0,0,0
66,350.0,2.020,7,2.0,3,6.0,1976,0.6,0.36,2,Pending,0,Harris,0,1,0,0,0
67,270.0,2.053,3,2.1,3,6.3,1977,0.7,0.49,2,Active,1,Redwood,0,0,0,0,0
68,299.0,1.743,3,2.0,3,6.0,1988,1.8,3.24,2,Active,1,Harris,0,1,0,0,0
69,285.0,1.878,5,2.1,3,6.3,1975,0.5,0.25,2,Active,1,Crest,0,0,0,1,0
70,255.0,1.900,4,2.0,3,6.0,1980,1.0,1.00,2,Sold,0,Parker,0,0,0,0,1
71,259.0,2.208,4,3.0,3,9.0,1979,0.9,0.81,2,Active,1,Parker,0,0,0,0,1
72,249.9,2.081,5,2.1,4,8.4,1970,0.0,0.00,1,Sold,0,Harris,0,1,0,0,0
73,215.0,2.044,1,1.1,4,4.4,1936,-3.4,11.56,0,Sold,0,Parker,0,0,0,0,1
74,435.0,2.253,11,2.0,3,6.0,1979,0.9,0.81,2,Sold,0,Redwood,0,0,0,0,0
75,274.9,1.861,4,2.0,4,8.0,1995,2.5,6.25,2,Active,1,Parker,0,0,0,0,1
76,349.5,2.896,4,3.0,5,15.0,1979,0.9,0.81,2,Active,1,Crest,0,0,0,1,0
