Name,Continent,Population
Pakistan,Asia,156483000
Palau,Oceania,19000
Palestine,Asia,3101000
Panama,North America,2856000
Papua New Guinea,Oceania,4807000
Paraguay,South America,5496000
Peru,South America,25662000
Philippines,Asia,75967000
Pitcairn,Oceania,50
Poland,Europe,38653600
Portugal,Europe,9997600
Puerto Rico,North America,3869000
Qatar,Asia,599000
Réunion,Africa,699000
Romania,Europe,22455500
Russian Federation,Europe,146934000
Rwanda,Africa,7733000
Saint Helena,Africa,6000
Saint Kitts and Nevis,North America,38000
Saint Lucia,North America,154000
Saint Pierre and Miquelon,North America,7000
Saint Vincent and the Grenadines,North America,114000
Samoa,Oceania,180000
San Marino,Europe,27000
Sao Tome and Principe,Africa,147000
Saudi Arabia,Asia,21607000
Senegal,Africa,9481000
Seychelles,Africa,77000
Sierra Leone,Africa,4854000
Singapore,Asia,3567000
Slovakia,Europe,5398700
Slovenia,Europe,1987800
Solomon Islands,Oceania,444000
Somalia,Africa,10097000
South Africa,Africa,40377000
South Georgia and the South Sandwich Islands,Antarctica,0
South Korea,Asia,46844000
Spain,Europe,39441700
Sri Lanka,Asia,18827000
Sudan,Africa,29490000
Suriname,South America,417000
Svalbard and Jan Mayen,Europe,3200
Swaziland,Africa,1008000
Sweden,Europe,8861400
Switzerland,Europe,7160400
Syria,Asia,16125000
Taiwan,Asia,22256000
Tajikistan,Asia,6188000
Tanzania,Africa,33517000
Thailand,Asia,61399000
Togo,Africa,4629000
Tokelau,Oceania,2000
Tonga,Oceania,99000
Trinidad and Tobago,North America,1295000
Tunisia,Africa,9586000
Turkey,Asia,66591000
Turkmenistan,Asia,4459000
Turks and Caicos Islands,North America,17000
Tuvalu,Oceania,12000
Uganda,Africa,21778000
Ukraine,Europe,50456000
United Arab Emirates,Asia,2441000
United Kingdom,Europe,59623400
United States,North America,278357000
United States Minor Outlying Islands,Oceania,0
Uruguay,South America,3337000
Uzbekistan,Asia,24318000
Vanuatu,Oceania,190000
Venezuela,South America,24170000
Vietnam,Asia,79832000
"Virgin Islands, British",North America,21000
"Virgin Islands, U.S.",North America,93000
Wallis and Futuna,Oceania,15000
Western Sahara,Africa,293000
Yemen,Asia,18112000
Yugoslavia,Europe,10640000
Zambia,Africa,9169000
Zimbabwe,Africa,11669000
